id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,verb_present_participle,verb_past_participle,verb_passive_infinitive,verb_passive_present,verb_passive_past,noun_plural,noun_singular_definite,noun_plural_definite,noun_singular_definite_genitive,noun_plural_definite_genitive,noun_singular_indefinite_genitive,noun_plural_indefinite_genitive,adjective_feminine_form,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,pronoun_object,pronoun_reflexive,pronoun_plural_subject,pronoun_plural_object,pronoun_plural_reflexive,determinative_feminine_form,determinative_neuter_form,determinative_plural_form,adverb_comparative,adverb_superlative
wb_bbc286a349d6a4f9da010eb98f1a77111c56f8600eac1ba9c4ee95ee1643164b,true,adjective,ordinal_number,eighth,第八,åttende,,,,,,,,,,,,,,,,åttende,åttende,åttende,åttende,åttende,åttende,,,,,,,,,,
wb_6b8d85d5792ca47c27ab121ea152f1b255ecb6eb25812bc14b17e2765fe52971,true,adjective,ordinal_number,ninth,第九,niende,,,,,,,,,,,,,,,,niende,niende,niende,niende,niende,niende,,,,,,,,,,
wb_4418e8234b1769e3d309674539999fcca872c8fb46d474d1d918ef5c9086d2cf,true,adjective,ordinal_number,tenth,第十,tiende,,,,,,,,,,,,,,,,tiende,tiende,tiende,tiende,tiende,tiende,,,,,,,,,,
wb_0551ea997aa21241153cd470aaf1193f17e942295bf6adb15ef160c91551cc85,true,adjective,ordinal_number,eleventh,第十一,ellevte,,,,,,,,,,,,,,,,ellevte,ellevte,ellevte,ellevte,ellevte,ellevte,,,,,,,,,,
wb_c5e3f44da95dfa538f523be596b98a3370547adf3e09d295520498e6780472a3,true,adjective,ordinal_number,twelfth,第十二,tolvte,,,,,,,,,,,,,,,,tolvte,tolvte,tolvte,tolvte,tolvte,tolvte,,,,,,,,,,
wb_266399d778c34ed520c60b2b22b04193ed4cdfe04d83aefb15b67ef4b195bb0a,true,adjective,ordinal_number,thirteenth,第十三,trettende,,,,,,,,,,,,,,,,trettende,trettende,trettende,trettende,trettende,trettende,,,,,,,,,,
wb_6721b64ed9abd95235501783f02301569cccf9545b4752a889ad65652e92f067,true,adjective,ordinal_number,fourteenth,第十四,fjortende,,,,,,,,,,,,,,,,fjortende,fjortende,fjortende,fjortende,fjortende,fjortende,,,,,,,,,,
wb_442f6b991cf05f6b55f0d6b386e3aa995847dbf952e3e03feab47691614edba2,true,adjective,ordinal_number,fifteenth,第十五,femtende,,,,,,,,,,,,,,,,femtende,femtende,femtende,femtende,femtende,femtende,,,,,,,,,,
wb_b6cfac8b1f6eb8fa775e4bfff6ef3f24f71e01556544793fe4e1fd0f898fbf93,true,adjective,ordinal_number,sixteenth,第十六,sekstende,,,,,,,,,,,,,,,,sekstende,sekstende,sekstende,sekstende,sekstende,sekstende,,,,,,,,,,
wb_64d4de9b769e5fb5957d9372b90941d85c381e2dee716aa21da1c29b829fe07a,true,adjective,ordinal_number,seventeenth,第十七,syttende,,,,,,,,,,,,,,,,syttende,syttende,syttende,syttende,syttende,syttende,,,,,,,,,,
wb_655ce50fcc48680461ba4a7dcbb47105d0563454519d0cfd6ef4c6bd2db53b14,true,adjective,ordinal_number,eighteenth,第十八,attende,,,,,,,,,,,,,,,,attende,attende,attende,attende,attende,attende,,,,,,,,,,
wb_d81c51448391d943eec53b048bad7544341b9fcb3d034b929ce4d2e46675b717,true,adjective,ordinal_number,nineteenth,第十九,nittende,,,,,,,,,,,,,,,,nittende,nittende,nittende,nittende,nittende,nittende,,,,,,,,,,
wb_59b088339e7a72759aaff091326d5d71cc22cfeb4d09ecaacf32ebf28ff9296a,true,adjective,ordinal_number,twentieth,第二十,tjuende,,,,,,,,,,,,,,,,tjuende,tjuende,tjuende,tjuende,tjuende,tjuende,,,,,,,,,,
wb_c4099930792a621e91cf98f187647af2298d7c2aad0e2de0b27def949968d23f,true,adjective,ordinal_number,twenty-first,第二十一,tjueførste,,,,,,,,,,,,,,,,tjueførste,tjueførste,tjueførste,tjueførste,tjueførste,tjueførste,,,,,,,,,,
wb_aff5835bad1bf7cbda070e2ad890b03649afda6d15549fdb7ad9589620a73afe,true,adjective,ordinal_number,twenty-second,第二十二,tjueandre,,,,,,,,,,,,,,,,tjueandre,tjueandre,tjueandre,tjueandre,tjueandre,tjueandre,,,,,,,,,,
wb_f163a6a1710424618fdaf9cb0b5c4b9c6558db638a9d8f28f120dfd14c9c0ddb,true,adjective,ordinal_number,twenty-third,第二十三,tjuetredje,,,,,,,,,,,,,,,,tjuetredje,tjuetredje,tjuetredje,tjuetredje,tjuetredje,tjuetredje,,,,,,,,,,
wb_e59670771eda9cb8be15bac15402379b96caf65aa3f07178b521df18b4d5c773,true,adjective,ordinal_number,twenty-fourth,第二十四,tjuefjerde,,,,,,,,,,,,,,,,tjuefjerde,tjuefjerde,tjuefjerde,tjuefjerde,tjuefjerde,tjuefjerde,,,,,,,,,,
wb_72d25e1c6a1e3966bd21bc9783a218aebc71d3e6626e4afd849e79200b3f8953,true,adjective,ordinal_number,twenty-fifth,第二十五,tjuefemte,,,,,,,,,,,,,,,,tjuefemte,tjuefemte,tjuefemte,tjuefemte,tjuefemte,tjuefemte,,,,,,,,,,
wb_ce16faf83b8c8f86edbd0d7a2f510f59b735a9f3a3d430365acb08ae995d2646,true,adjective,ordinal_number,twenty-sixth,第二十六,tjuesjette,,,,,,,,,,,,,,,,tjuesjette,tjuesjette,tjuesjette,tjuesjette,tjuesjette,tjuesjette,,,,,,,,,,
wb_257d653f6e0cfa4c5c52a329509742d01d69b94edb3fdf9ff8593bfded439240,true,adjective,ordinal_number,twenty-seventh,第二十七,tjuesjuende,,,,,,,,,,,,,,,,tjuesjuende,tjuesjuende,tjuesjuende,tjuesjuende,tjuesjuende,tjuesjuende,,,,,,,,,,
wb_6ea7dbda0ad624bad49d043fc290835bdb3f13dce950d8a1277323164439a874,true,adjective,ordinal_number,twenty-eighth,第二十八,tjueåttende,,,,,,,,,,,,,,,,tjueåttende,tjueåttende,tjueåttende,tjueåttende,tjueåttende,tjueåttende,,,,,,,,,,
wb_76ccd0074c7593c092827f32eea8c33b2e8cd6a18b5fa058202d1ebb51a398ac,true,adjective,ordinal_number,twenty-ninth,第二十九,tjueniende,,,,,,,,,,,,,,,,tjueniende,tjueniende,tjueniende,tjueniende,tjueniende,tjueniende,,,,,,,,,,
wb_0ac86ab33b794e86dc6d4d1ccde2f2f599c90532553edea9b88a09a57e8f8818,true,adjective,ordinal_number,thirtieth,第三十,trettiende,,,,,,,,,,,,,,,,trettiende,trettiende,trettiende,trettiende,trettiende,trettiende,,,,,,,,,,
wb_1bd76fe1d320e2344da0d475bd8d6ee38ebc2c56d67e7e44c6ca36bd2985ec6d,true,adjective,ordinal_number,fortieth,第四十,førtiende,,,,,,,,,,,,,,,,førtiende,førtiende,førtiende,førtiende,førtiende,førtiende,,,,,,,,,,
wb_ba90746447abbd3a204e822f3a1f796da3c182e75a1cf096ac33c168d6456f38,true,adjective,ordinal_number,fiftieth,第五十,femtiende,,,,,,,,,,,,,,,,femtiende,femtiende,femtiende,femtiende,femtiende,femtiende,,,,,,,,,,
wb_03b1068a829c019f8957fb8e4b205ea1bb96f6d5d3de815b58309438b0f1d145,true,adjective,ordinal_number,sixtieth,第六十,sekstiende,,,,,,,,,,,,,,,,sekstiende,sekstiende,sekstiende,sekstiende,sekstiende,sekstiende,,,,,,,,,,
wb_b73db6970ce59121a7b9c32e0bffac4dc01f225f0120c12165bdcb7d042d003a,true,adjective,ordinal_number,seventieth,第七十,syttiende,,,,,,,,,,,,,,,,syttiende,syttiende,syttiende,syttiende,syttiende,syttiende,,,,,,,,,,
wb_421a08f8d3262c88f0a6c273ead00d8028ebbb9b402c9456a36955c6c814aa66,true,adjective,ordinal_number,eightieth,第八十,åttiende,,,,,,,,,,,,,,,,åttiende,åttiende,åttiende,åttiende,åttiende,åttiende,,,,,,,,,,
wb_222a7691f7d04227074a60d1294aff9c532e69eb5327865c665307738b4bb905,true,adjective,ordinal_number,ninetieth,第九十,nittiende,,,,,,,,,,,,,,,,nittiende,nittiende,nittiende,nittiende,nittiende,nittiende,,,,,,,,,,
wb_6a60b741a5d83c1d3f2ef536a1afd32f6d330c6fd2db49c036375a356151f52c,true,adjective,ordinal_number,one hundredth,第一百,hundrede,,,,,,,,,,,,,,,,hundrede,hundrede,hundrede,hundrede,hundrede,hundrede,,,,,,,,,,
wb_8c9d437987531223a086a89fc6b3435c0ba03f1e2f36ad9e8f95b212e2fe3dd2,true,adjective,ordinal_number,two hundredth,第二百,to hundrede,,,,,,,,,,,,,,,,to hundrede,to hundrede,to hundrede,to hundrede,to hundrede,to hundrede,,,,,,,,,,
wb_b409ab181474336263958f5b5ce59422877b254ca2178f19a9ed4129bbb9a5cf,true,adjective,ordinal_number,three hundredth,第三百,tre hundrede,,,,,,,,,,,,,,,,tre hundrede,tre hundrede,tre hundrede,tre hundrede,tre hundrede,tre hundrede,,,,,,,,,,
wb_49f0f7612c4091130670828f861478dd89c30a11cf1ac0f2774e1bef89a473de,true,adjective,ordinal_number,five hundredth,第五百,fem hundrede,,,,,,,,,,,,,,,,fem hundrede,fem hundrede,fem hundrede,fem hundrede,fem hundrede,fem hundrede,,,,,,,,,,
wb_51a04467677d75d453dfef48654adea8441058f0a29c931fbe80cef9665ff713,true,adjective,ordinal_number,one thousandth,第一千,tusende,,,,,,,,,,,,,,,,tusende,tusende,tusende,tusende,tusende,tusende,,,,,,,,,,
wb_7271996cc00b1668c0c6ea49338fd65c5c6b4ab2af1319af6bcecf3a0c15804c,true,adjective,ordinal_number,five thousandth,第五千,fem tusende,,,,,,,,,,,,,,,,fem tusende,fem tusende,fem tusende,fem tusende,fem tusende,fem tusende,,,,,,,,,,
wb_15c17814493c63a34579d293bf10673765f2ab93f899a5f8d258e8e5fd99f137,true,adjective,ordinal_number,one hundred thousandth,第十万,hundretusende,,,,,,,,,,,,,,,,hundretusende,hundretusende,hundretusende,hundretusende,hundretusende,hundretusende,,,,,,,,,,
wb_145da039234d5a4a1c0d82b06616d818c3dda7022f9d7ae1839888a0ad91d912,true,pronoun,pronoun,you(subject),你（主格）,du,,,,,,,,,,,,,,,,,,,,,,deg,deg,dere,dere,dere selv,,,,,
wb_5c058aaa167972ddfa5edb97cfc8bcff19e48c390f3b2404111d3d6eafd0cf18,true,pronoun,pronoun,you(object),你（宾格）,deg,,,,,,,,,,,,,,,,,,,,,,deg,deg,dere,dere,dere selv,,,,,
wb_f701c21dc86ce6a953ad771745856497c616dc3fc40d2f417bf834212251966a,true,determinative,pronoun,your(common),你的（阴阳性）,din,,,,,,,,,,,,,,,,,,,,,,,,,,,di,ditt,dine,,
wb_0907f9707d1883ee3fe2f833add3ae6240bb9c16617f8a5bf766e28a8ea64488,true,determinative,pronoun,your(neuter),你的（中性）,ditt,,,,,,,,,,,,,,,,,,,,,,,,,,,di,ditt,dine,,
wb_69a90d5b3e0f446d3b18d3694debac8da564f730f1f5bfa98a503a4c5a282d52,true,determinative,pronoun,your(plural),你的（复数）,dine,,,,,,,,,,,,,,,,,,,,,,,,,,,di,ditt,dine,,
wb_4660d36d3509c005c055795426d6541365e6b260b5add89153319d5c664ab8fb,true,pronoun,pronoun,yourself,你自己（反身）,deg selv,,,,,,,,,,,,,,,,,,,,,,deg,deg selv,dere,dere,dere selv,,,,,
wb_0db78d18afa6ba789bc5b62630820a23e190e416671847200a89bbe1e5fce3e1,true,determinative,pronoun,your own,你自己的（反身物主）,din egen,,,,,,,,,,,,,,,,,,,,,,,,,,,din egen,ditt eget,dine egne,,
wb_e759e078b708130e52d8ff55603949ea007ac26f53e692c8b896e4ebcf4978d5,true,pronoun,pronoun,I,我（主格）,jeg,,,,,,,,,,,,,,,,,,,,,,meg,meg,vi,oss,oss selv,,,,,
wb_2c7f9032d4ead80ea0e13598b7cec3932a59fd087b25b4c11f181e3c95667cc7,true,pronoun,pronoun,me,我（宾格）,meg,,,,,,,,,,,,,,,,,,,,,,meg,meg,vi,oss,oss selv,,,,,
wb_69b3b821fa1ba6c37220646647c43fcf35b92f6c01ff4cef666eb607a78c3546,true,determinative,pronoun,my(common),我的（阴阳性）,min,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,mitt,mine,,
wb_f7cc3fa225f86f05923f34a3178293d76b9a96fea5e731b78b9910ce9749a3a7,true,determinative,pronoun,my(neuter),我的（中性）,mitt,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,mitt,mine,,
wb_8611d82c07baa8bae3d1054523ec2e3c9669da5b396ed2a3527da7e87b27ee7d,true,determinative,pronoun,my(plural),我的（复数）,mine,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,mitt,mine,,
wb_04699449f7ee35f38abd2f9bc05b43fb10f427216f9c7a5003ccf6d077b7233b,true,pronoun,pronoun,myself,我自己（反身）,meg selv,,,,,,,,,,,,,,,,,,,,,,meg,meg selv,vi,oss,oss selv,,,,,
wb_c315cfbff83a56e3332110e851269c2e4233fd45c73ae50e01316a6a0c47e9fa,true,determinative,pronoun,my own,我自己的（反身物主）,min egen,,,,,,,,,,,,,,,,,,,,,,,,,,,min egen,mitt eget,mine egne,,
wb_6ec8719feb6cc75c596b0ec1f77cc1e4a60c33a55a301883b71fab2a5fdc4990,true,pronoun,pronoun,he(subject),他（主格）,han,,,,,,,,,,,,,,,,,,,,,,ham,seg,de,dem,seg,,,,,
wb_1280faf4380b1641bb25367e8ce0f897784765ea786b2c808682f30415e61cc3,true,pronoun,pronoun,him(object),他（宾格）,ham,,,,,,,,,,,,,,,,,,,,,,ham,seg,de,dem,seg,,,,,
wb_ccd0357fb36abba002708ddac71a6004f315f121eb761ebb3f47a3124e4451a4,true,determinative,pronoun,his(common)|his(neuter)|his(plural),他的（阴阳性）|他的（中性）|他的（复数）,hans,,,,,,,,,,,,,,,,,,,,,,,,,,,hans,hans,hans,,
wb_899e8f7fb7df268025c62afe01f9a1f9595f6e960533c6c1eff8ed5f5e677164,true,pronoun,pronoun,himself|herself|themselves-male|themselves-female,他自己（反身）|她自己（反身）|他们自己（反身）|她们自己（反身）,seg,,,,,,,,,,,,,,,,,,,,,,seg,seg,de,dem,seg,,,,,
wb_238c01e4a6e05d2b4b0b62c5178450d2476cdaf9da30338612082afd23a629ea,true,determinative,pronoun,his own|her own|their-own-male|their-own-female,他自己的（反身物主）|她自己的（反身物主）|他们自己的（反身物主）|她们自己的（反身物主）,sin,,,,,,,,,,,,,,,,,,,,,,,,,,,si,sitt,sine,,
wb_2004474385f849daa8282fe42f38128f6bab883ef735379a30741ef8fe1f9dca,true,pronoun,pronoun,she(subject),她（主格）,hun,,,,,,,,,,,,,,,,,,,,,,henne,seg,de,dem,seg,,,,,
wb_3e47be4a77da3e5c1aadb6edcc04062bdbe841f418935b2fa6a43b6f33f74855,true,pronoun,pronoun,her(object),她（宾格）,henne,,,,,,,,,,,,,,,,,,,,,,henne,seg,de,dem,seg,,,,,
wb_7b09d02104ac4240e15e559b11a3e6fa3fab8741ee58ac1500552f548d9da208,true,determinative,pronoun,her(common)|her(neuter)|her(plural),她的（阴阳性）|她的（中性）|她的（复数）,hennes,,,,,,,,,,,,,,,,,,,,,,,,,,,hennes,hennes,hennes,,
wb_f86977845b4d35dc2a6e81acbc8ae817b1ec93625c90bdaa88a7121e0fb3f3c2,true,pronoun,pronoun,you all(subject)|you all(object),你们（主格）|你们（宾格）,dere,,,,,,,,,,,,,,,,,,,,,,dere,dere,dere,dere,dere selv,,,,,
