id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,noun_plural,noun_singular_definite,noun_plural_definite,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,adverb_comparative,adverb_superlative
wb_ef060f449b01da936acb3678d64d459ab1e7bd55cd7f5e66384ad6c2c44ea0d2,true,noun,,way,方式,måte,,,,måter,måten,måterne,,,,,,,
wb_abc07a67a6d9414068e8dde19c31727d7988b892e5b0334aa6ef8d961c19535a,true,noun,,picture,图片,bilde,,,,bilder,bilden,bilderne,,,,,,,
wb_dfa5e8ebdd695e20e554975d89df16eabf5df45f1c43c22842c72dd1d2b6efd3,true,noun,,goal,目标,mål,,,,måler,målen,målerne,,,,,,,
wb_dda4bb2d6c390a09f6e336dd3c3f2f6fc68323a12ec309cf09e650d23a53cb5f,true,noun,duolingo,history,历史,historie,,,,historier,historien,historierne,,,,,,,
wb_f1c8e8c0890b729b3be8da2f771610c81e730a10ad0b667336e1897fb7d72050,true,noun,,woman,女人,kvinne,,,,kvinner,kvinnen,kvinnerne,,,,,,,
wb_70d037aec8bcfc4eb79a92dda2abaddca46943b79ca9ddcab1e057f36de0c614,true,noun,,side,侧面,side,,,,sider,siden,siderne,,,,,,,
wb_ec770d25ab10e77d6a6757771de6db7016bd69226208bd066c6a907b267cf1b3,true,noun,,things,东西,ting,,,,tinger,tingen,tingerne,,,,,,,
wb_6727e63ad98d233615e0bf3d7462f3036fa471040fb577df19388e9850f01fe1,true,noun,,father,父亲,far,,,,farer,faren,farerne,,,,,,,
wb_45d404d9045486550e9fb232ab1183e310e79bf27236ff1314e1e82d471ed53e,true,noun,,prime minister,总理,statsminister,,,,statsministerer,statsministeren,statsministererne,,,,,,,
wb_9d6870a573114f3a4a332334dac283777af59905ebbf57f2fb24c2baefe80bf8,true,noun,,road,路,vei,,,,veier,veien,veierne,,,,,,,
wb_9abeb4797a0a5c3b7e3122fba1586b7540b846d37409901eb9c8b8944cc356e7,true,noun,,work,工作,arbeid,,,,arbeider,arbeiden,arbeiderne,,,,,,,
wb_8f8ce6f20ae807d27443cb95b83f24e4fd24b32f22d6a0b463309e1bae45edf3,true,noun,,selection,选择,utvalg,,,,utvalger,utvalgen,utvalgerne,,,,,,,
wb_190fbcff92a3e68b8ce90ff356ddc7069b079ea3f818554bc2b2ac60068671b3,true,noun,,president,总统,president,,,,presidenter,presidenten,presidenterne,,,,,,,
wb_64e3c3a77541a17632c36db2e0e6ad545c550f48d678651dba47472e95b5c63b,true,noun,,example,例子,eksempel,,,,eksempeler,eksempelen,eksempelerne,,,,,,,
wb_bfda86b499e81a8faf7c9a8dc33010df89acdab4a6b3b71bf6059b43c8753170,true,noun,,million,百万,million,,,,millioner,millionen,millionerne,,,,,,,
wb_18500f5d4f020b78742717cb249f6f694282900376b9fef5dd0206a6c0f1641b,true,noun,,responsibility,责任,ansvar,,,,ansvarer,ansvaren,ansvarerne,,,,,,,
wb_b2dd07c14d8d40b9ab530723fadd8f4226de4b71d0e9a53e3f526d488f632bd7,true,noun,,crown,皇冠,krone,,,,kroner,kronen,kronerne,,,,,,,
wb_17898515a0f67d38e10ba16c8426a0114d383016d373aaf7680bfd0d517453df,true,noun,,society,社会,samfunn,,,,samfunner,samfunnen,samfunnerne,,,,,,,
wb_de27090a28a01a0d45c8d5fcb99e8631cfdd0a9e72af7f34c0a2a936d85377b8,true,noun,,family,家庭,familie,,,,familier,familien,familierne,,,,,,,
wb_9c6bd849e92612f49c781a6975976fe8ca9ad61dc3e074da5eb06a81c507a864,true,noun,,addition,加法,tillegg,,,,tillegger,tilleggen,tilleggerne,,,,,,,
wb_e168244ecd4f25060e487498b22352e98bdac27e15992483d4a3b8d93212253a,true,noun,,school,学校,skole,,,,skoler,skolen,skolerne,,,,,,,
wb_b6ba98ca1cb0d7b3b609921b4b81a7188eb6e9f7973f397cc1919eff5a382934,true,noun,,manager,经理,leder,,,,lederer,lederen,ledererne,,,,,,,
wb_159d033de3a8f558c9e80f22e952df88c5f0782a8b8d9a3f1c65ecb41541497c,true,noun,,evening,晚上,kveld,,,,kvelder,kvelden,kvelderne,,,,,,,
wb_74510205ff69634f4444972d6ed0d9745b33ddc378dfbc83f904eb42acfc8c17,true,noun,,car,汽车,bil,,,,biler,bilen,bilerne,,,,,,,
wb_72f601fbf56cbf3ef941498780fdd20f936b7a478ea545bd5d5fc4026f97f8d4,true,noun,,job,工作,jobb,,,,jobber,jobben,jobberne,,,,,,,
wb_21f77268a751c3c361d17168c573ffd6f59a045296f9aa3820174ca64699a842,true,noun,,choice,选择,valg,,,,valger,valgen,valgerne,,,,,,,
wb_c92b6b07b76f57d6613f23d6c1426d963098d943405317048df4160d55629355,true,noun,,words,话,ord,,,,order,orden,orderne,,,,,,,
wb_0147f3d2850051ddb6423ce9bf9a3a7fe6909501e85aee417509a71dcc619e73,true,noun,,area,面积,område,,,,områder,områden,områderne,,,,,,,
wb_0bf1f96f9fbda9ce3c19fd0d857c09f0c3551d323628363d00edc56455687ed6,true,noun,,city,城市,by,,,,byer,byen,byerne,,,,,,,
wb_03b6f9a5e8263e6bb84619591e87f565fd31f4f31f2fc55f4e44324bba656a13,true,noun,,person,人,person,,,,personer,personen,personerne,,,,,,,
wb_56ceac0edf940bdfb2ca4e1756bb7c62fb46bdef9c6aed23a4f5a232c31c0e99,true,noun,,politics,政治,politikk,,,,politikker,politikken,politikkerne,,,,,,,
wb_d2ec052142c684c83220f72bdcf37e252ce264655eb788e8bb90331736335d72,true,noun,,book,书,bok,,,,boker,boken,bokerne,,,,,,,
wb_2f39e06ec79882efba68d3174dd91eaed223100095ebf7f010958128d723c478,true,noun,,possibility,可能性,mulighet,,,,muligheter,muligheten,muligheterne,,,,,,,
wb_a5d81e0e53683e2fb0f896fe9686af6da91baf4e1d0263859d45f35fa468666a,true,noun,,fall,秋天,fall,,,,faller,fallen,fallerne,,,,,,,
wb_8f184a2cfd6a507d01664fe801ae7a246e8b0a09f65ed96950ecde9c0e15c8ae,true,noun,,police,警察,politi,,,,politier,politien,politierne,,,,,,,
wb_c46e0adef12ca4e854e114cf29d895e2032a5614f5b8ac28f5d5ae9b28e71e85,true,noun,,law,法律,lov,,,,lover,loven,loverne,,,,,,,
wb_c9df90d972c143d8d31577cc9c86374af2d84d280e710da5fa7e9de465f22b21,true,noun,,space,空间,plass,,,,plasser,plassen,plasserne,,,,,,,
wb_3d51b81a9548acd3837094af4e54fd1c0088b733fd7428c565d972b60365c309,true,noun,,cooperation,合作,samarbeid,,,,samarbeider,samarbeiden,samarbeiderne,,,,,,,
wb_da5045b7f99dc634c980fb3039e16334c0a3c7ea096ce0fa7e596592d7b09aa1,true,noun,,member,会员,medlem,,,,medlemer,medlemen,medlemerne,,,,,,,
wb_b4e5588fb7bd55dc19751e4489602ab0c20c038313c0b4dba08aa6e3103a7f3b,true,noun,,right,对,rett,,,,retter,retten,retterne,,,,,,,
wb_1b767e9905b6e8a6a00ef8c3fc1e0b60ae42357c20552c763fdef74ad70bd839,true,noun,,money,钱,penge,,,,penger,pengen,pengerne,,,,,,,
wb_69dd165dde30b2ebd3fea745161d6bd68867321c4c489d2a2109b8032672810c,true,noun,,municipality,市政府,kommune,,,,kommuner,kommunen,kommunerne,,,,,,,
wb_1125b1fe75a9459e213d3d21807969faaddc78835e7b5483c8c0ffc7122953e3,true,noun,,games,游戏,spill,,,,spiller,spillen,spillerne,,,,,,,
wb_c90a1dbcab6e3b66c6671e333f12e9317b36f093e7bb42ce563d0bd97ff540cf,true,noun,,use,使用,bruk,,,,bruker,bruken,brukerne,,,,,,,
wb_5f086c8c44e0a555f408c9b62bd2ffa03a20ffa834f802021355b8f935dc0003,true,noun,,degree,学位,grad,,,,grader,graden,graderne,,,,,,,
wb_feb80074b2f1c55bcbfb64646b081bc366b91b3086501626288c4775b2f78832,true,noun,,politician,政治家,politiker,,,,politikerer,politikeren,politikererne,,,,,,,
wb_cf386a915f7588953ccdf2fce59e302b553f085bd8eb48ae79bbde4227492db5,true,noun,,friend,朋友,venn,,,,venner,vennen,vennerne,,,,,,,
wb_2df7bf808125e5f0632b727a5f1de2d0b8b3bdd7705a166939ca8f81996f7cd3,true,noun,,debate,辩论,debatt,,,,debatter,debatten,debatterne,,,,,,,
wb_cb34f274b6b28286765ecaff49be5b5ab16f30d1120244147ade343926be9225,true,noun,,company,公司,selskap,,,,selskaper,selskapen,selskaperne,,,,,,,
wb_7549f222b8aa13274a68c6898256096b357b320ec6d7ccc1c2a110cb18212d8e,true,noun,,requirements,要求,krav,,,,kraver,kraven,kraverne,,,,,,,
wb_88631803c431de7b8d48ae85880ca7f96a5e2dc4a578c76f86613eb6f62fb997,true,noun,,house,房子,hus,,,,huser,husen,huserne,,,,,,,
wb_8608589fddd6976c7602ddac22e288cb6805bb3de275f42124e232b13afd2b02,true,noun,,war,战争,krig,,,,kriger,krigen,krigerne,,,,,,,
wb_8cadf28c68538bdc061f5542298c830b6e5f5b0fe22cab557ef6069bc4abcb23,true,noun,,player,玩家,spiller,,,,spillerer,spilleren,spillererne,,,,,,,
wb_923916b9e84306db67f30a797f9611cac1450a0ca001e5380de508ee43448e51,true,noun,,authority,权威,myndighet,,,,myndigheter,myndigheten,myndigheterne,,,,,,,
wb_4dcd46341de26bc1448fc97d32a5dbf9e7e62beb03562a757764f693afe1519e,true,noun,,medium,中等,medium,,,,mediumer,mediumen,mediumerne,,,,,,,
wb_33b236fce432f3c4ef55666f2010acba2d426d21f8bd7571737b3bdc96fdf4f4,true,noun,,film,电影,film,,,,filmer,filmen,filmerne,,,,,,,
wb_d56c26d65595dccc9fb9b68da8f3c344c720cf2b9b8bcaece59c7d1b05faf5d1,true,noun,,vote,投票,stemme,,,,stemmer,stemmen,stemmerne,,,,,,,
wb_7eb2ac450b2941fda439608c330eaae904bd0fb8d841032687519ac04e54c24e,true,noun,,proposal,提案,forslag,,,,forslager,forslagen,forslagerne,,,,,,,
wb_3e594eaeb7167cceba15e58ac028125b7e3d5a7c8e0b5821668b40025576af65,true,noun,,ran,跑,løp,,,,løper,løpen,løperne,,,,,,,
wb_cb2fd532c441db8905c25fde5159432804a33f37f9145238bd8a2912efb25f2a,true,noun,,teams,团队,lag,,,,lager,lagen,lagerne,,,,,,,
wb_a01dd7febf2dba83f77e74180d74d0757c912feb3a7ae1d23c35610cf408b967,true,noun,,girl,女孩,jente,,,,jenter,jenten,jenterne,,,,,,,
wb_2387fe134e2a4bcf76c82e953a26f26344c78a079be95660d26e6d880ee1c922,true,noun,,meeting,会议,møte,,,,møter,møten,møterne,,,,,,,
wb_04359b07adaa3acae587d613640f47ca9567bdeac7821fba6813e42b27e284b7,true,noun,,period,期间,periode,,,,perioder,perioden,perioderne,,,,,,,
wb_b11fef83fec954ee8226d606b23d2089d12c8b16a72cfb8369d710d6bc45479b,true,noun,,end,结束,slutt,,,,slutter,slutten,slutterne,,,,,,,
wb_6991e26a2b589cdd6546145b25e5585f84fab230ad204623e25298e2bb684207,true,noun,,business,商业,virksomhet,,,,virksomheter,virksomheten,virksomheterne,,,,,,,
wb_6fb4920fb3f976d0f89645634766da34fa37e33ce114d7e06404967620a3ed98,true,noun,,majority,多数,flertall,,,,flertaller,flertallen,flertallerne,,,,,,,
wb_b2d45f76bc7778db41f32013cb691ef559e1d915f62ac986c95f939bb6252b5b,true,noun,,row,行,rekke,,,,rekker,rekken,rekkerne,,,,,,,
wb_6469142c6b8bc81bae659a9f2d5672b9ff7740ea53eefbf6b4d526dd0ed6d09e,true,noun,,development,发展,utvikling,,,,utviklinger,utviklingen,utviklingerne,,,,,,,
wb_e6a14e8e4ff23785a57993ba9c0c4249827f5eaa77be456dd09e722fbd6f2013,true,noun,,environment,环境,miljø,,,,miljøer,miljøen,miljøerne,,,,,,,
wb_1aebe9b22942af737445fda5f958198c380d48970c6b80287675ba7a46e6cfd3,true,noun,,plan,计划,plan,,,,planer,planen,planerne,,,,,,,
wb_df6fbd3ea92e18b3b822215c9b6d454bc7aea19a27509dc4c0d40e570abbd9fc,true,noun,,name,姓名,navn,,,,navner,navnen,navnerne,,,,,,,
wb_cef97dfc350da28689d94936e08e3580f9d046dd12932683d4457dd6e739f8d9,true,noun,,newspaper,报纸,avis,,,,aviser,avisen,aviserne,,,,,,,
wb_46935c294f28f6eb4e0db4874c06a6fb7a2a829f33f6f2f4c576b4c25da5314d,true,noun,,rule,规则,regel,,,,regeler,regelen,regelerne,,,,,,,
wb_9dba576a5f2d751e4456b9ca7942cdc2d0b381ca1667fa6f2759f5e367f521c8,true,noun,,minute,分钟,minutt,,,,minutter,minutten,minutterne,,,,,,,
wb_80b927f16b7d1ed495b1c7933af36202ca23d85bc886b7add6fb26fe985cd4b2,true,noun,,situation,情况,situasjon,,,,situasjoner,situasjonen,situasjonerne,,,,,,,
wb_312ba25298af714813fd33b31f75d75f3a3b127a324eadbef59d8b348e34493f,true,noun,,month,月,måned,,,,måneder,måneden,månederne,,,,,,,
wb_c08fc0c57cc1bc194d44d0689e096ed8240668f056868e0f749f8bf02dd7f60c,true,noun,,organization,组织,organisasjon,,,,organisasjoner,organisasjonen,organisasjonerne,,,,,,,
wb_f70b4078b33753e7552ec9ab99b1c44715c5e94f12a57ffabadb36c494191257,true,noun,,price,价格,pris,,,,priser,prisen,priserne,,,,,,,
wb_8daa5ca11da79e3bb93f77036d2b4fce9a1ea975f47aa7e9671cac2c27359eb8,true,noun,,Sunday,周日,søndag,,,,søndager,søndagen,søndagerne,,,,,,,
wb_b847986939513f8d12cd003a0eff50637c2d7b869ad9cb4a0c1d43f650b3e836,true,noun,,parent,家长,forelder,,,,forelderer,forelderen,foreldererne,,,,,,,
wb_b1508574ba6433fd5cc04442a79a72836bed97f47037e9161dadd091e5df9c7b,true,noun,,challenge,挑战,utfordring,,,,utfordringer,utfordringen,utfordringerne,,,,,,,
wb_61b532b94244afee34eecb3ae219151d06ddbf9ce560204bfc5f784b61da7761,true,noun,,Minister of State,国务大臣,statsråd,,,,statsråder,statsråden,statsråderne,,,,,,,
wb_573b7e4e0a25044bb0a7a485e776fe43f7a9511f7b8f5554cacb0cf1be751afb,true,noun,,answer,回答,svar,,,,svarer,svaren,svarerne,,,,,,,
wb_bef9457a312087515f52df649ead90c056cef64bf3a5aeabedb86e2fec0d342f,true,noun,,doctor,医生,lege,,,,leger,legen,legerne,,,,,,,
wb_0dbffb8cd94e6535720fa75bccc6b61d5d909d68abade306a29705cc61839bab,true,noun,,form,形式,form,,,,former,formen,formerne,,,,,,,
wb_c6cb7cf2de534e043da6549436a48e7c519e650d1e657c93bbc16c78e984edc1,true,noun,,role,角色,rolle,,,,roller,rollen,rollerne,,,,,,,
wb_3ce6a3cf476eb3f4bbf2dce3cb961395b75aa063068880fe4d1c9fc6edd59ee4,true,noun,,result,结果,resultat,,,,resultater,resultaten,resultaterne,,,,,,,
wb_7db2d57f875acb4c20e4e9ef36e6602e1e177a2a91052833cf059478031a0a20,true,noun,,photo,照片,foto,,,,fotoer,fotoen,fotoerne,,,,,,,
wb_87e5f279ba145b8e3f7183f605cfece48f58099c80a8be35f9886181f601b024,true,noun,,company,公司,bedrift,,,,bedrifter,bedriften,bedrifterne,,,,,,,
wb_ffc2963dd24ab6b580ecc6c5df16bd8befa369d02f5320ed5767f4a9c882c901,true,noun,,boy,男孩,gutt,,,,gutter,gutten,gutterne,,,,,,,
wb_8d645e5b4f89fe96b7e73368dc7208358d5f36bd8918ba1f78695f0f38fd9a18,true,noun,,support,支持,støtte,,,,støtter,støtten,støtterne,,,,,,,
wb_5cab00dbed132234c90fbc2581bed8b3ffc4d56aaea8f24f376bfd7e95ee2998,true,noun,,Friday,周五,fredag,,,,fredager,fredagen,fredagerne,,,,,,,
wb_b087a500c03737dd56f41130035c3e7a46d6912d81c7fb5ebfae38059cf20909,true,noun,,change,改变,endring,,,,endringer,endringen,endringerne,,,,,,,
wb_5e56eb744bdd0880801693773171e89192cbe65ee66c3edb81bdcdcac994867d,true,noun,,hour,小时,time,,,,timer,timen,timerne,,,,,,,
wb_06b4bd9783a4ba5e5506506602515ddf35769b7401e900a9d37ee449815c358b,true,noun,,gas power plant,燃气发电厂,gasskraftverk,,,,gasskraftverker,gasskraftverken,gasskraftverkerne,,,,,,,
wb_f332049bdba846cfb1aa90cc3ffffdec637874dd9efc6fd0a5d3d8719da37c58,true,noun,,hospital,医院,sykehus,,,,sykehuser,sykehusen,sykehuserne,,,,,,,
wb_a2b147ab19e9b31b3bc5d3954df57d267c32abd0606e81914a53117a80a9e9b4,true,noun,,daughter,女儿,datter,,,,datterer,datteren,dattererne,,,,,,,
wb_c6d8bace757fd05f2ed5642410cc2ae7f4332a9bc4409c3f3f476138b04e4e41,true,noun,,power,电源,makt,,,,makter,makten,makterne,,,,,,,
wb_967ea66da388545f411ccecca4182e65784a618fe342b6fcaf2e2634ae6e3ddc,true,noun,,Norwegian,挪威语,nordmann,,,,nordmanner,nordmannen,nordmannerne,,,,,,,
wb_897ab38cb5cddbdc99a2c5b4158628104cc7111611fb989b1d3ec97332ba76ea,true,noun,,hand,手,hånd,,,,hånder,hånden,hånderne,,,,,,,
wb_2156b31eda7e3cfe9a58a6714d525cdec622f05710701decaefe2d94482732d2,true,noun,,audience,观众,publikum,,,,publikumer,publikumen,publikumerne,,,,,,,
wb_e5c89cb48ff30950caee31bcf77887ba1fd66af2ad929cfd383d113f91f3c046,true,noun,,needs,需要,behov,,,,behover,behoven,behoverne,,,,,,,
wb_7669eb7421d8b78dec0992a49db536fa8a0376df840d5bbbb9648d7ce5f4ce96,true,noun,,contact,联系方式,kontakt,,,,kontakter,kontakten,kontakterne,,,,,,,
wb_39aa694f8e2115176d5ffa63689626e4259acfbad84264a878efcdbc56827937,true,noun,,information,信息,informasjon,,,,informasjoner,informasjonen,informasjonerne,,,,,,,
wb_b394bbf4e5925b34600996581aec694823fe945991c375132e2be821764ed3be,true,noun,,couple,情侣,par,,,,parer,paren,parerne,,,,,,,
wb_56720c93fadaeb62f9c37adf2ff046fa0ef6e2474bebe14d067ea942fd324030,true,noun,,points,点,poeng,,,,poenger,poengen,poengerne,,,,,,,
wb_d6f4b5f297834888d22bd7c6480779baf949ff6fc52fcc9ee6d4ec30256b043a,true,noun,,music,音乐,musikk,,,,musikker,musikken,musikkerne,,,,,,,
wb_c9ef42243408f75d794665bbad09a1db2e277fc6b6e077559d39211cb1650144,true,noun,,project,项目,prosjekt,,,,prosjekter,prosjekten,prosjekterne,,,,,,,
wb_9c43c5a1314d6e324982709c125b147157f71d013d3d4afafb9ef7310f0cf7b7,true,noun,,arrangement,安排,ordning,,,,ordninger,ordningen,ordningerne,,,,,,,
wb_84c43d0051d4b83ce890035dd3fb6934f867ce9070d085f3b7c3f3ff1276569d,true,noun,,representative,代表,representant,,,,representanter,representanten,representanterne,,,,,,,
wb_b9486240e5ccd24aced8c78fd36fc69724860aca45a2f99120f3b97e34731d32,true,noun,,Saturday,星期六,lørdag,,,,lørdager,lørdagen,lørdagerne,,,,,,,
wb_c2635e2392559058ca4ae16c4b3e8a0f2f65f4c1c07a47014b911643e3f8cd5e,true,noun,,goes,去,går,,,,gårer,gåren,gårerne,,,,,,,
wb_075e03e604032f5847412803780bc25d2296fcd0938b4d7ddb70cced4b853321,true,noun,,dad,爸爸,pappa,,,,pappaer,pappaen,pappaerne,,,,,,,
wb_a7dfe4c58298a2cf02705590d7a9867ffabc65092e39042493826f908e2e91c4,true,noun,,autumn,秋天,høst,,,,høster,høsten,høsterne,,,,,,,
wb_eeb1d7487a648c0231be31d4feedd940a14c72f538bb462f11277d5a3a1df708,true,noun,,solution,解决方案,løsning,,,,løsninger,løsningen,løsningerne,,,,,,,
wb_0cd3249d70882fe1c2c0c06368c1897eaff4e978e983b6adb2be8fcc06d6c30b,true,noun,,thought,思想,tanke,,,,tanker,tanken,tankerne,,,,,,,
wb_b4ed4c1b17ddb9be6ce4e35b03e204e4edbceac585260c73e68054a825646ba2,true,noun,,regulation,监管,forskrift,,,,forskrifter,forskriften,forskrifterne,,,,,,,
wb_ea3f3a3aa15e2f9bca681e179c4c1376e858fcfdc7bf86930752ca7defb34a74,true,noun,,clock,时钟,klokke,,,,klokker,klokken,klokkerne,,,,,,,
wb_a39d2a2623915b1648d0b664bd8524b723874fe44321a56b9033703ca7d2e8cc,true,noun,,eye,眼睛,øye,,,,øyer,øyen,øyerne,,,,,,,
wb_3827ea7d74e73be53b316ea1bbd4de0aeddc05aef0bcacf2d4a17e96ea9e19a5,true,noun,,value,值,verdi,,,,verdier,verdien,verdierne,,,,,,,
wb_d084f0a2d02d06de6c34fc77b604c09cd59023d3b595aba5b16b08bed6c03186,true,noun,,technology,技术,teknologi,,,,teknologier,teknologien,teknologierne,,,,,,,
wb_429b4fe17a4442c6636dcdcad3605f5d639ea105b3d2d932df41e4bb424abfc3,true,noun,,victory,胜利,seier,,,,seierer,seieren,seiererne,,,,,,,
wb_e97b3e10ba40b77a9e0f1590d3deb95de8df408a3bfdcf50b209cdafdd398784,true,noun,,help,帮助,hjelp,,,,hjelper,hjelpen,hjelperne,,,,,,,
wb_0fd62f0e8f335e3502a09c8bef1465e9a27a6393de4cccda885748e58b70c451,true,noun,,action,行动,handling,,,,handlinger,handlingen,handlingerne,,,,,,,
wb_e41b8598e8d9fc331da439a79d6e55b60b02dd765607b4feac46faeb99e58290,true,noun,,chooses,选择,velger,,,,velgerer,velgeren,velgererne,,,,,,,
wb_cca1bc1d30b01b3505a1adbc89e0d7f01de8b31546e430c1391934545040b64b,true,noun,,economy,经济,økonomi,,,,økonomier,økonomien,økonomierne,,,,,,,
wb_4fe61d13083fd639bdbe9a010a7997006ee8db76946b2f15ffa91fc43cb029c3,true,noun,,measures,措施,tiltak,,,,tiltaker,tiltaken,tiltakerne,,,,,,,
wb_5a1141de956bc053271ac476bf62063d121569223f3c267aaffca37ed2a9f262,true,noun,,last year,去年,fjor,,,,fjorer,fjoren,fjorerne,,,,,,,
wb_d0276a2c4734ce198151d694a80dac1b2be99e23d81d0c69fde523013f38d2e8,true,noun,,journalist,记者,journalist,,,,journalister,journalisten,journalisterne,,,,,,,
wb_8f0696855af978aa52bd7bdb99d7ec24df3752d9bb40ce2a6de865fe7d65b1dc,true,noun,,line,线,linje,,,,linjer,linjen,linjerne,,,,,,,
wb_3f00fe67204ecddf7147030be8afc9ebb2dc98502d949cc7d821ce6dbf646d68,true,noun,,group,组,gruppe,,,,grupper,gruppen,grupperne,,,,,,,
wb_e07fc5de2a1baaa2db241e89442b376b442f18c420365d0654c4b7ac0f7923dd,true,noun,,table,表,bord,,,,border,borden,borderne,,,,,,,
wb_a07baa5333e3133b35106f7c9998bc89bdb409b53b2a99079a91a1af3a0a37e1,true,noun,,management,管理,ledelse,,,,ledelser,ledelsen,ledelserne,,,,,,,
wb_dd3cd1a672c2d5317baa724553b0831c8722c010efaf48b94c34a844f716ed01,true,noun,,numbers,数字,tall,,,,taller,tallen,tallerne,,,,,,,
